2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 0.0 in stage 2.0 (TID 8, localhost, executor driver, partition 0, PROCESS_LOCAL, 6055 bytes)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 1.0 in stage 2.0 (TID 9, localhost, executor driver, partition 1, PROCESS_LOCAL, 6055 bytes)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 2.0 in stage 2.0 (TID 10, localhost, executor driver, partition 2, PROCESS_LOCAL, 6055 bytes)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 3.0 in stage 2.0 (TID 11, localhost, executor driver, partition 3, PROCESS_LOCAL, 6055 bytes)
2017-04-18 15:03:39 INFO  Executor:54 - Running task 0.0 in stage 2.0 (TID 8)
2017-04-18 15:03:39 INFO  Executor:54 - Running task 3.0 in stage 2.0 (TID 11)
2017-04-18 15:03:39 INFO  Executor:54 - Running task 1.0 in stage 2.0 (TID 9)
2017-04-18 15:03:39 INFO  Executor:54 - Running task 2.0 in stage 2.0 (TID 10)
2017-04-18 15:03:39 INFO  BlockManager:54 - Found block rdd_2_1 locally
2017-04-18 15:03:39 INFO  BlockManager:54 - Found block rdd_2_3 locally
2017-04-18 15:03:39 INFO  BlockManager:54 - Found block rdd_2_2 locally
2017-04-18 15:03:39 INFO  BlockManager:54 - Found block rdd_2_0 locally
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 1.0 in stage 2.0 (TID 9). 1214 bytes result sent to driver
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 3.0 in stage 2.0 (TID 11). 1127 bytes result sent to driver
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 1.0 in stage 2.0 (TID 9) in 22 ms on localhost (executor driver) (1/4)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 3.0 in stage 2.0 (TID 11) in 19 ms on localhost (executor driver) (2/4)
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 2.0 in stage 2.0 (TID 10). 1127 bytes result sent to driver
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 2.0 in stage 2.0 (TID 10) in 23 ms on localhost (executor driver) (3/4)
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 0.0 in stage 2.0 (TID 8). 1228 bytes result sent to driver
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 0.0 in stage 2.0 (TID 8) in 38 ms on localhost (executor driver) (4/4)
2017-04-18 15:03:39 INFO  TaskSchedulerImpl:54 - Removed TaskSet 2.0, whose tasks have all completed, from pool 
2017-04-18 15:03:39 INFO  DAGScheduler:54 - ResultStage 2 (sortBy at GenomicRDD.scala:1144) finished in 0.039 s
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Job 1 finished: sortBy at GenomicRDD.scala:1144, took 0.052081 s
2017-04-18 15:03:39 INFO  SparkContext:54 - Starting job: collect at GenomicRDD.scala:1147
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Registering RDD 8 (sortBy at GenomicRDD.scala:1144)
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Got job 2 (collect at GenomicRDD.scala:1147) with 4 output partitions
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Final stage: ResultStage 4 (collect at GenomicRDD.scala:1147)
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Parents of final stage: List(ShuffleMapStage 3)
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Missing parents: List(ShuffleMapStage 3)
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 3 (MapPartitionsRDD[8] at sortBy at GenomicRDD.scala:1144), which has no missing parents
2017-04-18 15:03:39 INFO  MemoryStore:54 - Block broadcast_4 stored as values in memory (estimated size 7.5 KB, free 366.0 MB)
2017-04-18 15:03:39 INFO  MemoryStore:54 - Block broadcast_4_piece0 stored as bytes in memory (estimated size 4.2 KB, free 366.0 MB)
2017-04-18 15:03:39 INFO  BlockManagerInfo:54 - Added broadcast_4_piece0 in memory on 10.142.33.143:38374 (size: 4.2 KB, free: 366.2 MB)
2017-04-18 15:03:39 INFO  SparkContext:54 - Created broadcast 4 from broadcast at DAGScheduler.scala:996
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Submitting 4 missing tasks from ShuffleMapStage 3 (MapPartitionsRDD[8] at sortBy at GenomicRDD.scala:1144)
2017-04-18 15:03:39 INFO  TaskSchedulerImpl:54 - Adding task set 3.0 with 4 tasks
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 0.0 in stage 3.0 (TID 12, localhost, executor driver, partition 0, PROCESS_LOCAL, 6045 bytes)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 1.0 in stage 3.0 (TID 13, localhost, executor driver, partition 1, PROCESS_LOCAL, 6045 bytes)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 2.0 in stage 3.0 (TID 14, localhost, executor driver, partition 2, PROCESS_LOCAL, 6045 bytes)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 3.0 in stage 3.0 (TID 15, localhost, executor driver, partition 3, PROCESS_LOCAL, 6045 bytes)
2017-04-18 15:03:39 INFO  Executor:54 - Running task 0.0 in stage 3.0 (TID 12)
2017-04-18 15:03:39 INFO  Executor:54 - Running task 1.0 in stage 3.0 (TID 13)
2017-04-18 15:03:39 INFO  Executor:54 - Running task 2.0 in stage 3.0 (TID 14)
2017-04-18 15:03:39 INFO  Executor:54 - Running task 3.0 in stage 3.0 (TID 15)
2017-04-18 15:03:39 INFO  BlockManager:54 - Found block rdd_2_1 locally
2017-04-18 15:03:39 INFO  BlockManager:54 - Found block rdd_2_3 locally
2017-04-18 15:03:39 INFO  BlockManager:54 - Found block rdd_2_2 locally
2017-04-18 15:03:39 INFO  BlockManager:54 - Found block rdd_2_0 locally
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 2.0 in stage 3.0 (TID 14). 1347 bytes result sent to driver
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 0.0 in stage 3.0 (TID 12). 1347 bytes result sent to driver
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 3.0 in stage 3.0 (TID 15). 1347 bytes result sent to driver
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 2.0 in stage 3.0 (TID 14) in 37 ms on localhost (executor driver) (1/4)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 0.0 in stage 3.0 (TID 12) in 42 ms on localhost (executor driver) (2/4)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 3.0 in stage 3.0 (TID 15) in 37 ms on localhost (executor driver) (3/4)
2017-04-18 15:03:39 INFO  Executor:54 - Finished task 1.0 in stage 3.0 (TID 13). 1347 bytes result sent to driver
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Finished task 1.0 in stage 3.0 (TID 13) in 44 ms on localhost (executor driver) (4/4)
2017-04-18 15:03:39 INFO  TaskSchedulerImpl:54 - Removed TaskSet 3.0, whose tasks have all completed, from pool 
2017-04-18 15:03:39 INFO  DAGScheduler:54 - ShuffleMapStage 3 (sortBy at GenomicRDD.scala:1144) finished in 0.047 s
2017-04-18 15:03:39 INFO  DAGScheduler:54 - looking for newly runnable stages
2017-04-18 15:03:39 INFO  DAGScheduler:54 - running: Set()
2017-04-18 15:03:39 INFO  DAGScheduler:54 - waiting: Set(ResultStage 4)
2017-04-18 15:03:39 INFO  DAGScheduler:54 - failed: Set()
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Submitting ResultStage 4 (MapPartitionsRDD[13] at mapPartitions at GenomicRDD.scala:1146), which has no missing parents
2017-04-18 15:03:39 INFO  MemoryStore:54 - Block broadcast_5 stored as values in memory (estimated size 8.3 KB, free 366.0 MB)
2017-04-18 15:03:39 INFO  MemoryStore:54 - Block broadcast_5_piece0 stored as bytes in memory (estimated size 4.6 KB, free 366.0 MB)
2017-04-18 15:03:39 INFO  BlockManagerInfo:54 - Added broadcast_5_piece0 in memory on 10.142.33.143:38374 (size: 4.6 KB, free: 366.2 MB)
2017-04-18 15:03:39 INFO  SparkContext:54 - Created broadcast 5 from broadcast at DAGScheduler.scala:996
2017-04-18 15:03:39 INFO  DAGScheduler:54 - Submitting 4 missing tasks from ResultStage 4 (MapPartitionsRDD[13] at mapPartitions at GenomicRDD.scala:1146)
2017-04-18 15:03:39 INFO  TaskSchedulerImpl:54 - Adding task set 4.0 with 4 tasks
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 0.0 in stage 4.0 (TID 16, localhost, executor driver, partition 0, ANY, 5751 bytes)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 1.0 in stage 4.0 (TID 17, localhost, executor driver, partition 1, ANY, 5751 bytes)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 2.0 in stage 4.0 (TID 18, localhost, executor driver, partition 2, ANY, 5751 bytes)
2017-04-18 15:03:39 INFO  TaskSetManager:54 - Starting task 3.0 in stage 4.0 (TID 19, localhost, executor driver, partition 3, ANY, 5751 bytes)
